word1,word2,word3
Magnus,does,not
Magnus,does,not
Magnus,drinks,the
Magnus,drinks,the
Magnus,gets,in
Magnus,gets,in
Magnus,gets,in
Magnus,has,had
Magnus,has,a
Magnus,has,to
Magnus,has,a
Magnus,has,been
Magnus,has,a
Magnus,has,had
Magnus,has,his
Magnus,has,been
Magnus,has,his
Magnus,has,been
Magnus,immediately,assumes
Magnus,immediately,assumes
Magnus,in,the
Magnus,in,the
Magnus,is,just
Magnus,is,gonna
Magnus,is,not
Magnus,is,on
Magnus,is,his
Magnus,is,on
Magnus,is,just
Magnus,is,fine
Magnus,is,gonna
Magnus,is,not
Magnus,is,actually
Magnus,is,actually
Magnus,is,just
Magnus,is,not
Magnus,is,just
Magnus,is,gonna
Magnus,is,gonna
Magnus,is,just
Magnus,is,fine
Magnus,is,not
Magnus,is,in
Magnus,is,not
Magnus,is,on
Magnus,kind,of
Magnus,make,a
Magnus,make,a
Magnus,make,a
Magnus,make,a
Magnus,on,the
Magnus,on,the
Magnus,raises,his
Magnus,raises,his
Magnus,rushes,in
Magnus,rushes,in
Magnus,rushes,in
Magnus,rushes,in
Magnus,rushes,in
Magnus,rushes,in
Magnus,rushes,in
Magnus,rushes,in
Magnus,rushes,in
Magnus,starts,changing
Magnus,starts,changing
Magnus,starts,changing
Magnus,steps,into
Magnus,steps,into
Magnus,turns,to
Magnus,turns,to
Magnus,wants,to
Magnus,wants,to
Magnus,with,your
Magnus,with,your
Magnus,would,never
Magnus,would,never
Magnus,would,have
Magnus,would,have
